Seq,Screen/State ID,Layer,Screen/State Title,Block Type,Learning/Purpose,Learner Action,Completion Rule,Data Saved,Privacy/Safety,Accessibility/Low-Bandwidth,Asset/Component,Build Status
10,M1-S1-06A,Layer 2 Player,Build Your HRBA Learning Portfolio,Portfolio value card,Introduce private portfolio,Read portfolio purpose,Continue,Viewed status,Private-by-default note displayed,Clear headings,Portfolio illustration optional,Preserve existing learner content; apply targeted repairs
11,M1-S1-06B,Layer 2 Player,Meet Ayele: How the Portfolio Helps,Demo story card,Demonstrate safe portfolio use,Read demo story,Continue,Viewed status,Demo explicitly fictional,Text alternative if illustrated,Ayele illustration optional,Preserve existing learner content; apply targeted repairs
12,M1-S1-07,Layer 2 Player,Safe Learning Agreement,Checklist gate,Safeguard and orient,Tick agreement,Checkbox required,Agreement acceptance timestamp,Store only acceptance,Keyboard accessible checkbox,Safe Learning Agreement graphic optional,Preserve existing learner content; apply targeted repairs
13,M1-S1-08,Layer 2 Player,Orientation Readiness Check,2-question check,Confirm safety and course mechanics,Answer 2 questions,View feedback,Completion status,No public visibility,MCQ accessible,None,Preserve existing learner content; apply targeted repairs
14,M1-S2-01,Layer 2 Player,Good Intentions Are Not Always Enough,Scenario hook,Motivate relevance,Read fictional example,Continue,Viewed status,Fictional only,Scene description if image,Local CSO scenario optional,Preserve existing learner content; apply targeted repairs
15,M1-S2-02,Layer 2 Player,HRBA in Plain Language,Explainer + statement,Define HRBA simply,Read,Continue,Viewed status,No personal data,Plain language,None,Preserve existing learner content; apply targeted repairs
16,M1-S2-03,Layer 2 Player,Why HRBA Matters in Everyday CSO Work,Icon cards,Explain benefits,Open/read five cards,Open all or continue,Viewed status,No personal data,Card labels required,HRBA relevance icons,Preserve existing learner content; apply targeted repairs
17,M1-S2-04,Layer 2 Player,Activity-Focused vs Rights-Aware Practice,Comparison card,Contrast approaches,Compare columns,Continue,Viewed status,No personal data,Columns stack on mobile,Comparison visual optional,Preserve existing learner content; apply targeted repairs
18,M1-S2-05,Layer 2 Player,Set Up My HRBA Learning Portfolio,Structured reflection,Connect course to learner context,Select safe fields; optional note,Save or skip,"Role area, focus, confidence, optional note",Private by default,Accessible fields; note warning,Portfolio setup icon optional,Preserve existing learner content; apply targeted repairs
19,M1-S3-01,Layer 2 Player,From Beneficiaries to Rights-Holders,Comparison block,Teach first HRBA shift,Compare framings,Continue,Viewed status,No personal data,Mobile stack,Shift illustration optional,Preserve existing learner content; apply targeted repairs
20,M1-S3-02,Layer 2 Player,From Service Delivery Alone to Empowerment and Accountability,Explainer + statement,Deepen shift,Read,Continue,Viewed status,No personal data,Text-first,None,Preserve existing learner content; apply targeted repairs
21,M1-S3-03,Layer 2 Player,Ask Better Questions Before Acting,Scenario decision,Practice HRBA questions,Choose option,View feedback,Completion status; selected option optional,Fictional only,Keyboard/tap selection,Scenario graphic optional,Preserve existing learner content; apply targeted repairs
22,M1-S3-04,Layer 2 Player,What Changes When We Ask Rights-Based Questions?,Reveal block,Explain consequences,Open reveal items,Open all or continue,Viewed status,No personal data,Accessible as text list,None,Preserve existing learner content; apply targeted repairs
23,M1-S3-05,Layer 2 Player,Key Takeaway,Statement block,Consolidate concept,Read,Continue,Viewed status,No personal data,Text-first,None,Preserve existing learner content; apply targeted repairs
24,M1-S4-01,Layer 2 Player,Four Ways CSOs May Frame Their Work,Four-column comparison,Teach categories,Read definitions,Continue,Viewed status,No personal data,Columns stack on mobile,Sorting icons optional,Preserve existing learner content; apply targeted repairs
25,M1-S4-02,Layer 2 Player,Sort the Examples,Sorting activity,Practice classification,Sort four examples,Complete and view feedback,Completion; attempts optional,No sensitive examples,Non-drag alternative required,Sorting icons,Preserve existing learner content; apply targeted repairs
26,M1-S4-03,Layer 2 Player,Why the Rights-Based Option Goes Further,Feedback explainer,Explain meaning,Read,Continue,Viewed status,No personal data,Text-first,None,Preserve existing learner content; apply targeted repairs
27,M1-S4-04,Layer 2 Player,What This Means for Your CSO,Commitment chip,Connect to practice,Select one shift,Save if confirmed,Selected shift theme,Private by default,Buttons accessible,None,Preserve existing learner content; apply targeted repairs
28,M1-S5-01,Layer 2 Player,Rights-Holders and Duty-Bearers,Definition cards,Teach roles,Read,Continue,Viewed status,No personal data,Cards accessible,Role icons optional,Preserve existing learner content; apply targeted repairs
29,M1-S5-02,Layer 2 Player,A Fictional Local CSO Scenario,Case card,Apply roles safely,Read,Continue,Viewed status,Fictional only,Scene description if illustrated,Scenario illustration optional,Preserve existing learner content; apply targeted repairs
30,M1-S5-03,Layer 2 Player,Who Is the Rights-Holder? Who Is the Duty-Bearer?,Matching activity,Identify actor roles,Match four actors,Complete and view feedback,Completion; attempts optional,Fictional only,Non-drag alternative required,Matching graphic optional,Preserve existing learner content; apply targeted repairs
31,M1-S5-04,Layer 2 Player,Where Do CSOs Fit?,Labeled map / diagram,Show CSO bridge role,Explore diagram,Continue after viewing,Viewed status,No personal data,Full text alternative required,Rights-holder/duty-bearer map,Preserve existing learner content; apply targeted repairs
32,M1-S5-05,Layer 2 Player,Common Misunderstanding,Myth/reality cards,Correct misconceptions,Open cards,Open all or continue,Viewed status,No personal data,Accessible cards,None,Preserve existing learner content; apply targeted repairs
33,M1-S6-01,Layer 2 Player,Your HRBA Starting Point,Survey intro + privacy note,Introduce self-assessment,Read,Start self-assessment,Viewed status,No personal data,Text-first,Self-assessment icon optional,Preserve existing learner content; apply targeted repairs
34,M1-S6-02,Layer 2 Player,What Are You Assessing?,Single-choice survey,Define scope,Choose scope,Required,Assessment scope,Private metadata,Radio buttons accessible,None,Preserve existing learner content; apply targeted repairs
35,M1-S6-03,Layer 2 Player,Your Role and Context,Short profile survey,Contextualize results,Choose role/context,Required or prefer not to say,"Role band, completion mode",Private metadata,Accessible radio buttons,None,Preserve existing learner content; apply targeted repairs
36,M1-S6-04,Layer 2 Player,How to Answer,Instruction card,Explain scale,Read scale,Continue,Viewed status,No personal data,Scale visible in text,Rating scale graphic optional,Preserve existing learner content; apply targeted repairs
37,M1-S6-05,Layer 2 Player,HRBA Starting-Point Survey,16-item survey,Diagnose starting point,Rate 16 items,All items answered,Item scores 0–3 or N/A,Private by default,One item per screen on mobile,None,Preserve existing learner content; apply targeted repairs
38,M1-S6-06,Layer 2 Player,Your Result Summary,Automated feedback card,Interpret overall result,View band,Required,"Total score, band, N/A count, flag",Private,"Text labels, no color-only meaning",Result card optional,Preserve existing learner content; apply targeted repairs
39,M1-S6-07,Layer 2 Player,Domain Feedback,Domain score cards,Interpret domains,Review cards,Required,Domain scores,Private,Text cards,Domain icons optional,Preserve existing learner content; apply targeted repairs
40,M1-S6-08,Layer 2 Player,Choose Two Priority Areas,Priority selector,Select priorities,Choose two domains,Required,Two priority domains,Private,Checkbox buttons accessible,None,Preserve existing learner content; apply targeted repairs
41,M1-S6-09,Layer 2 Player,Save My HRBA Starting Point,Portfolio save + optional note,Save summary,Save; optional note,Required save,"Scope, band, domain scores, priorities, optional note, timestamp",Private portfolio only,Note warning visible,Save icon optional,Preserve existing learner content; apply targeted repairs
42,M1-S6-10,Layer 2 Player,How to Use Your Result,Transition card,Prepare for consolidation,Read,Continue,Viewed status,No personal data,Text-first,None,Preserve existing learner content; apply targeted repairs
43,M1-S7-01,Layer 2 Player,Add to My HRBA Learning Portfolio,Structured portfolio checkpoint,Consolidate first shift,Select shift and application areas; optional note,Save or skip depending policy,"Shift, areas, optional note",Private by default,Accessible selects; note warning,Portfolio checkpoint icon optional,Preserve existing learner content; apply targeted repairs
44,M1-S7-02,Layer 2 Player,Module 1 Quiz,5-question MCQ quiz,Formative review,Answer 5 MCQs,Submit and view feedback,"Completion status, responses optional",No public score; no certificate effect,MCQ accessible,None,Preserve existing learner content; apply targeted repairs
45,M1-S7-03,Layer 2 Player,Review Your Feedback,Feedback summary,Encourage review,Read,Continue,Viewed status,No personal data,Text-first,None,Preserve existing learner content; apply targeted repairs
46,M1-S7-04,Layer 2 Player,What You Have Started,Module summary,Consolidate learning,Read,Continue,Viewed status,No personal data,Text-first,Wrap-up image optional,Preserve existing learner content; apply targeted repairs
47,M1-S7-05,Layer 2 Player,Next: Human Rights in Everyday CSO Work,Next-step CTA,Transition to Module 2,Click Continue to Module 2,Module completion triggered if required interactions complete,Module completion status,No personal data,Button accessible,None,Preserve existing learner content; apply targeted repairs
48,M1-PLAYER-COMPLETE,Layer 2 Player,Module 1 Completion Screen,Completion screen,"Confirm completion, reinforce progress saved, and guide learner back to platform.",Click Return to Course Page.,module_1_completed=true; close/return to LMS.,completion timestamp,No personal data shown.,Large button; clear text; no animation-only completion.,Completion state component,Required targeted repair
49,M1-LMS-RETURN,Layer 1 Platform,Progress Saved and Continue to Module 2,Return-to-platform state,"Show Module 1 completed, green check/progress indicator, and clear Continue to Module 2 CTA.",Click Continue to Module 2 or Review Module 1.,Visible completed state persists.,module_1_completed=true,No sensitive learner output displayed.,Status not color-only; button keyboard accessible.,Layer 1 progress card,Required targeted repair
